deso,year,Quartile 1,Quartile 2,Quartile 3,Quartile 4,Median value,Mean value,total
2321A0010,2022,30,28,26,17,272.7,310.7,1146
2321A0020,2022,20,28,28,24,294.2,372.6,1785
2321A0030,2022,32,26,24,18,271.0,311.5,1867
2321A0040,2022,25,26,28,21,288.1,349.4,1222
2321B2010,2022,15,21,29,35,334.5,424.6,2359
2321B2020,2022,17,30,28,26,299.9,481.1,2088
2321C1010,2022,41,29,18,12,235.5,268.5,1668
2326A0010,2022,35,30,20,15,255.5,290.5,1048
2326A0020,2022,29,25,27,19,281.6,326.8,1131
2326A0030,2022,30,27,24,19,273.4,301.4,902
2326A0040,2022,27,28,28,16,278.4,299.9,1116
2326A0050,2022,32,30,22,16,255.5,291.2,1798
2326C1010,2022,50,24,15,10,211.9,238.7,1103
2361A0010,2022,28,30,25,17,263.8,294.3,1268
2361A0020,2022,34,29,21,15,248.7,279.9,960
2361A0030,2022,20,26,28,26,308.0,359.3,1674
2361A0040,2022,20,27,26,26,299.1,378.0,1216
2361B2010,2022,31,29,26,14,259.2,277.6,972
2361B3010,2022,24,24,24,27,300.0,357.4,1078
2361C1010,2022,33,27,23,17,254.9,286.9,1414
2361C1020,2022,35,27,22,16,251.8,292.7,1427
2380A0010,2022,23,32,27,18,278.9,308.7,2339
2380A0020,2022,13,27,34,27,314.4,364.4,1649
2380A0030,2022,21,30,32,17,287.4,320.2,1446
2380A0040,2022,19,31,28,21,289.9,346.0,2390
2380A0050,2022,24,35,21,20,271.0,332.7,1150
2380B2010,2022,38,29,21,13,237.2,276.8,1254
2380C1010,2022,28,33,25,14,258.3,283.3,1781
2380C1020,2022,30,33,24,13,256.2,325.7,1123
2380C1030,2022,24,34,23,18,270.3,306.7,1437
2380C1040,2022,31,32,23,14,257.3,290.5,2733
2380C1050,2022,12,30,33,25,312.0,348.2,2167
2380C1060,2022,27,35,25,14,260.7,284.5,2227
2380C1070,2022,41,29,20,10,235.4,263.9,979
2380C1080,2022,22,31,27,20,285.2,322.4,1756
2380C1090,2022,52,31,10,7,209.0,229.6,1898
2380C1100,2022,24,29,27,20,282.9,345.7,1975
2380C1110,2022,21,30,29,21,289.8,317.8,1665
2380C1120,2022,25,25,27,23,291.8,428.3,1903
2380C1130,2022,27,27,27,19,280.8,314.8,1385
2380C1140,2022,34,28,23,15,254.0,284.0,2231
2380C1150,2022,24,24,30,23,297.4,319.4,1405
2380C1160,2022,30,30,23,17,262.3,297.7,1584
2380C1170,2022,34,24,22,20,262.1,348.8,1734
2380C1180,2022,17,23,31,29,325.0,444.8,2286
2380C1190,2022,44,32,17,6,223.7,242.1,1512
2380C1200,2022,41,27,20,12,235.0,265.8,1582
2380C1210,2022,22,28,28,22,290.5,324.4,1595
2380C1220,2022,30,27,20,23,274.8,327.0,1322
2380C1230,2022,24,27,24,25,290.4,338.1,1299
2380C1240,2022,14,22,30,34,335.0,435.9,1545
2380C1250,2022,18,26,29,27,306.1,358.1,1302
2380C1260,2022,25,24,25,26,299.0,390.4,1738
2380C1270,2022,28,30,26,16,269.0,290.2,2143
2380C1280,2022,27,25,28,20,285.1,308.5,1568
2380C1290,2022,27,23,26,25,293.9,341.7,2821
2380C1300,2022,32,34,24,11,256.5,276.9,1551
2380C1310,2022,8,33,34,25,314.2,351.1,1520
2401A0010,2022,22,29,27,23,289.7,341.8,1559
2401A0020,2022,31,26,25,19,269.8,305.2,1407
2401B2010,2022,30,28,27,15,268.8,288.2,1365
2401C1010,2022,29,31,22,19,263.3,297.1,721
2401C1020,2022,34,29,24,13,253.2,277.2,1944
2403A0010,2022,30,32,21,17,260.5,297.6,1364
2403C1010,2022,37,33,17,13,241.9,269.5,979
2404A0010,2022,24,34,25,17,272.1,298.3,1290
2404A0020,2022,34,31,20,14,245.6,284.8,1583
2404C1010,2022,32,32,21,15,252.4,287.3,2562
2409A0010,2022,19,31,28,22,290.5,324.1,1940
2409A0020,2022,24,33,26,17,273.5,304.7,1272
2409A0030,2022,28,29,27,16,264.6,306.6,1522
2409C1010,2022,34,30,24,12,251.0,280.2,1965
2417A0010,2022,27,31,26,16,265.6,293.9,1903
2417C1010,2022,30,34,24,11,252.3,273.9,1998
2418A0010,2022,27,28,26,19,270.0,301.4,970
2418C1010,2022,25,31,27,17,275.1,326.5,991
2418C1020,2022,35,36,19,11,244.2,299.2,1013
2421A0010,2022,29,33,24,14,260.2,299.0,2070
2421A0020,2022,24,28,25,22,283.5,356.7,1512
2421C1010,2022,40,27,22,12,248.0,266.7,1240
2421C1020,2022,32,31,20,17,253.7,298.2,855
2422A0010,2022,33,28,24,15,255.6,282.1,1253
2422C1010,2022,35,35,18,12,247.0,269.1,1124
2425A0010,2022,33,32,22,13,250.1,277.5,1075
2425C1010,2022,35,32,19,14,247.9,279.1,1308
2460A0010,2022,21,36,23,20,275.2,329.2,2436
2460C1010,2022,32,31,22,15,256.9,289.7,2065
2460C1020,2022,34,30,22,13,252.7,287.8,1083
2460C1030,2022,30,33,24,13,256.3,276.7,1374
2460C1040,2022,18,33,29,19,290.9,378.8,1921
2462A0010,2022,35,31,19,15,246.5,280.4,1102
2462A0020,2022,32,29,23,16,257.2,294.2,1950
2462C1010,2022,38,32,19,11,236.3,262.1,959
2462C1020,2022,35,29,25,12,247.9,272.7,1619
2462C1030,2022,41,34,14,11,227.3,250.6,698
2463A0010,2022,38,29,19,15,237.4,269.0,953
2463C1010,2022,36,29,23,11,244.7,268.6,1766
2480A0010,2022,16,24,29,31,329.1,385.9,2127
2480A0020,2022,11,26,33,30,328.0,374.6,1626
2480A0030,2022,11,25,27,37,335.9,425.0,1709
2480A0040,2022,15,29,33,23,303.6,344.8,2184
2480A0050,2022,17,29,24,30,304.2,360.7,1246
2480A0060,2022,14,32,31,24,305.9,364.8,2557
2480A0070,2022,13,30,29,27,313.5,349.2,1668
2480A0080,2022,17,30,31,23,299.1,327.9,2477
2480A0090,2022,21,33,28,18,281.6,317.9,1310
