StateAbbr,StateDesc,CountyName,StateFIPS,CountyFIPS,TotalPopulation,TotalPop18plus,FOODSTAMP_CrudePrev,FOODSTAMP_Crude95ci,FOODSTAMP_AdjPrev,FOODSTAMP_Adj95CI
NC,North Carolina,Franklin,37,69,"77,001","60,292",13.2,"(10.6, 16.0)",13.6,"(11.0, 16.5)"
NC,North Carolina,Sampson,37,163,"59,601","44,966",19,"(16.0, 22.3)",19.8,"(16.6, 23.4)"
NC,North Carolina,Macon,37,113,"38,412","31,394",10.9,"( 8.4, 13.9)",12.3,"( 9.5, 15.6)"
NC,North Carolina,Caldwell,37,27,"80,574","64,820",13,"(10.1, 16.2)",13.9,"(10.6, 17.5)"
NC,North Carolina,Yadkin,37,197,"37,774","30,051",12.5,"(10.0, 15.7)",13.5,"(10.7, 17.0)"
NC,North Carolina,Onslow,37,133,"213,676","160,933",11.9,"( 9.6, 14.3)",12.8,"(10.4, 15.3)"
NC,North Carolina,Pasquotank,37,139,"41,444","32,807",13.8,"(11.2, 16.6)",14.5,"(11.6, 17.5)"
NC,North Carolina,Jackson,37,99,"44,574","37,282",11.5,"( 9.1, 14.4)",13.1,"(10.3, 16.1)"
NC,North Carolina,Wayne,37,191,"118,686","90,368",18,"(14.9, 21.3)",18.8,"(15.6, 22.2)"
NC,North Carolina,Tyrrell,37,177,"3,461","2,772",19.6,"(16.2, 23.1)",20.8,"(17.1, 24.3)"
NC,North Carolina,Brunswick,37,19,"159,964","137,936",7.9,"( 6.0, 10.2)",9.2,"( 7.1, 11.8)"
NC,North Carolina,Harnett,37,85,"141,477","105,764",14.2,"(11.6, 17.2)",14.3,"(11.6, 17.2)"
NC,North Carolina,Beaufort,37,13,"44,481","35,939",15.1,"(12.2, 18.1)",16.7,"(13.6, 20.0)"
NC,North Carolina,Union,37,179,"256,452","191,719",8.5,"( 6.6, 10.6)",8.7,"( 6.9, 11.0)"
NC,North Carolina,Nash,37,127,"96,551","75,392",17.1,"(14.1, 20.3)",18.1,"(14.9, 21.5)"
NC,North Carolina,Rutherford,37,161,"65,507","52,439",14.7,"(11.7, 18.1)",15.8,"(12.5, 19.7)"
NC,North Carolina,Iredell,37,97,"199,710","155,704",9.1,"( 7.0, 11.6)",9.4,"( 7.4, 12.0)"
NC,North Carolina,Currituck,37,53,"31,593","24,619",7.7,"( 5.9,  9.8)",7.9,"( 5.9, 10.1)"
NC,North Carolina,Polk,37,149,"20,060","17,006",8.8,"( 6.6, 11.3)",10.2,"( 7.7, 13.0)"
NC,North Carolina,Madison,37,115,"22,071","18,349",9.2,"( 6.8, 11.9)",10,"( 7.5, 13.1)"
NC,North Carolina,Clay,37,43,"11,864","10,069",9.1,"( 6.7, 11.8)",10.5,"( 7.8, 13.9)"
NC,North Carolina,Burke,37,23,"88,338","72,201",13.6,"(10.7, 16.8)",14.5,"(11.4, 18.1)"
NC,North Carolina,Alexander,37,3,"36,473","29,341",12,"( 9.5, 14.8)",12.8,"(10.0, 15.8)"
NC,North Carolina,Caswell,37,33,"22,807","18,569",16.4,"(13.7, 19.5)",17.4,"(14.4, 20.6)"
NC,North Carolina,Northampton,37,131,"16,715","13,758",22.4,"(18.4, 26.4)",24.9,"(20.6, 29.4)"
NC,North Carolina,Watauga,37,189,"54,748","48,121",10.7,"( 7.7, 14.4)",12.5,"( 9.4, 16.5)"
NC,North Carolina,Wilson,37,195,"78,970","60,928",23,"(18.9, 26.9)",24.1,"(19.9, 28.2)"
NC,North Carolina,Granville,37,77,"62,192","49,581",14.8,"(12.0, 17.9)",15.4,"(12.4, 18.7)"
NC,North Carolina,Surry,37,171,"71,462","56,528",14.1,"(11.0, 17.6)",15.2,"(11.7, 19.0)"
NC,North Carolina,Stokes,37,169,"45,532","37,073",11.2,"( 8.8, 13.9)",12.1,"( 9.5, 15.3)"
NC,North Carolina,Durham,37,63,"336,892","271,458",11,"( 8.5, 13.9)",11.2,"( 8.6, 13.9)"
NC,North Carolina,Forsyth,37,67,"392,921","304,926",13.2,"(10.8, 16.3)",13.8,"(11.1, 17.0)"
NC,North Carolina,Buncombe,37,21,"275,901","227,608",9.1,"( 6.8, 11.9)",9.6,"( 7.0, 12.8)"
NC,North Carolina,Lee,37,105,"67,059","51,479",14.7,"(11.9, 17.6)",15.2,"(12.2, 18.3)"
NC,North Carolina,Pender,37,141,"68,521","53,105",10.3,"( 8.1, 12.8)",10.5,"( 8.3, 13.1)"
NC,North Carolina,Lenoir,37,107,"54,895","42,399",24.5,"(20.3, 28.6)",25.9,"(21.7, 30.5)"
NC,North Carolina,Cumberland,37,51,"337,890","252,626",17,"(14.1, 20.2)",17.5,"(14.6, 20.9)"
NC,North Carolina,Chowan,37,41,"13,891","11,123",17.9,"(14.7, 21.7)",19.6,"(15.9, 23.6)"
