HEROP_ID,FIPS,FqhcAvTmDr,FqhcCtTmDr,FqhcTmDrP,TotTracts,A50_74HcvD,AmInHcvD,AsHcvD,AvA50_74HcvD,AvAmInHcvD,AvBlkHcvD,AvFlHcvD,AvHcvD,AvHspHcvD,AvMlHcvD,AvO75HcvD,AvU50HcvD,MdMarijLaw,AnyPdmpDt,AnyPdmpFr,AnyPdmphDt,AnyPdmphFr,ElcPdmpDt,ElcPdmpFr,MsAcPdmpDt,MsAcPdmpFr,OpPdmpDt,OpPdmpFr,CrrctExp,ExpnFedExp,ExpnSttExp,HlthExp,MedcdExp,PlcFyrExp,TradFedExp,TradSttExp,WlfrExp,BachelorsP,EduHsP,EduNoHsP,EngProf,GradSclP,SomeCollegeP,FemP,MaleP,Ovr16,Ovr16P,Ovr18,Ovr18P,Ovr21,Ovr21P,Ovr65,Ovr65P,SRatio,SRatio18,SRatio65,TotPop,AmIndE,AmIndP,AsianE,AsianP,BlackE,BlackP,HisE,HisP,OtherE,OtherP,PacIsE,PacIsP,TwoRaceE,TwoRaceP,WhiteE,WhiteP,DsmAs,DsmBlk,DsmHsp,IntrAsWht,IntrBlkWht,IntrHspWht,IsoAs,IsoBlk,IsoHsp
040US38,38,,,,228,,10,0.0,,1.0,0.0,0.0,26.0,,17.0,,,True,12/1/2005,1.0,12/1/2006,1.0,4/5/2007,1.0,1/1/2018,1.0,10/1/2008,1.0,829199,382999100,47138000,433421,1583330400,400343,668863900,484329300,2029821,22.66,25.68,6.17,97.92,9.63,18.75,48.79,51.21,613763.0,78.75,594569.0,76.29,518247.0,66.5,126120.0,16.18,104.97,105.04,87.52,779361,34916.0,4.48,12187.0,1.56,25209.0,3.23,34963.0,4.49,11146.0,1.43,1127.0,0.14,40956.0,5.26,653820.0,83.89,0.25,0.26,0.19,0.7,0.67,0.85,0.01,0.02,0.04
040US19,19,,,,896,54,,,79.0,,6.0,28.0,98.0,,70.0,,,False,5/31/2006,1.0,5/1/2006,1.0,5/31/2006,1.0,,0.0,3/1/2009,1.0,7239302,1416242700,158525300,6181562,6924571900,1315065,3640257200,1709546800,8743874,20.62,30.37,6.78,96.39,10.24,16.61,49.89,50.11,2547553.0,79.71,2459358.0,76.95,2131405.0,66.69,569081.0,17.81,100.44,98.66,84.11,3195937,10998.0,0.34,78267.0,2.45,123234.0,3.86,223471.0,6.99,64571.0,2.02,4396.0,0.14,179208.0,5.61,2735263.0,85.59,0.46,0.46,0.31,0.79,0.84,0.85,0.02,0.03,0.09
040US45,45,,,,1317,203,,0.0,212.0,,74.0,70.0,243.0,,173.0,,4.0,False,6/14/2006,1.0,6/1/2006,1.0,6/14/2006,1.0,5/19/2017,1.0,2/1/2008,1.0,13630820,,,11744060,8826629100,2303167,6652683100,2173945900,10198157,19.44,28.23,10.41,96.95,12.03,16.48,51.32,48.68,4216865.0,80.89,4085712.0,78.38,3545956.0,68.02,963569.0,18.48,94.85,92.21,81.37,5212774,16823.0,0.32,89723.0,1.72,1318630.0,25.3,368900.0,7.08,142798.0,2.74,3642.0,0.07,301711.0,5.79,3339447.0,64.06,0.56,0.35,0.42,0.57,0.47,0.52,0.03,0.43,0.11
040US04,4,,,,,186,,,243.0,11.0,14.0,79.0,291.0,76.0,212.0,11.0,10.0,True,9/19/2007,1.0,9/1/2007,1.0,9/19/2007,1.0,10/16/2017,1.0,12/1/2008,1.0,6609857,6742457500,709590200,2480707,22147056000,4784942,11123060900,3571947400,25346979,20.03,23.48,10.91,92.15,12.58,20.54,50.07,49.93,5862117.0,80.65,5673395.0,78.06,4955579.0,68.18,1349934.0,18.57,99.7,98.27,86.17,7268175,296794.0,4.08,249816.0,3.44,336931.0,4.64,2255770.0,31.04,595790.0,8.2,14434.0,0.2,1180757.0,16.25,4593653.0,63.2,0.53,0.56,0.38,0.52,0.52,0.46,0.03,0.05,0.41
040US10,10,,,,1331,13,,,6.0,0.0,11.0,,35.0,,26.0,,,True,7/15/2010,1.0,9/1/2011,1.0,1/1/2011,1.0,,0.0,8/1/2012,1.0,1609099,826860500,92409500,715001,3341415100,486487,1539699900,882445200,3525743,20.32,29.02,8.61,94.44,14.96,15.64,51.53,48.47,820630.0,81.58,795476.0,79.08,693327.0,68.93,201255.0,20.01,94.08,91.77,82.32,1005872,3744.0,0.37,41164.0,4.09,220645.0,21.94,107829.0,10.72,41233.0,4.1,403.0,0.04,76884.0,7.64,621799.0,61.82,0.42,0.4,0.41,0.61,0.5,0.51,0.07,0.3,0.19
040US11,11,,,,570,36,,0.0,46.0,0.0,63.0,16.0,67.0,,48.0,,,True,2/22/2014,1.0,2/1/2014,1.0,2/22/2014,1.0,3/16/2021,1.0,10/1/2016,1.0,1842715,696915300,77432200,1281479,3960539700,1051346,2401120600,785071600,5409838,26.07,14.52,7.15,94.89,37.49,10.19,52.39,47.61,556577.0,82.81,546404.0,81.3,486548.0,72.39,85501.0,12.72,90.89,87.39,71.19,672079,2044.0,0.3,27465.0,4.09,290772.0,43.26,77760.0,11.57,32338.0,4.81,378.0,0.06,56533.0,8.41,262549.0,39.07,0.28,0.66,0.39,0.52,0.17,0.38,0.08,0.67,0.19
040US60,60,,,,8706,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040US09,9,,,,,46,,0.0,60.0,0.0,10.0,23.0,83.0,19.0,59.0,,,True,6/6/2006,1.0,10/1/2006,1.0,10/1/2006,1.0,10/1/2015,1.0,7/1/2008,1.0,4672696,2477498500,484935900,3268398,10375514500,2081735,4096914100,3316166100,4026380,22.98,25.55,8.67,91.42,18.97,13.65,50.95,49.05,2955944.0,82.15,2864350.0,79.6,2472926.0,68.72,650772.0,18.09,96.28,94.2,80.33,3598348,9569.0,0.27,170954.0,4.75,384753.0,10.69,640668.0,17.8,256744.0,7.14,1806.0,0.05,343180.0,9.54,2431342.0,67.57,0.4,0.59,0.45,0.67,0.5,0.54,0.08,0.19,0.26
040US33,33,,,,349,10,,0.0,10.0,0.0,,4.0,44.0,,33.0,,,True,6/12/2012,1.0,6/1/2012,1.0,6/12/2012,1.0,1/21/2016,1.0,10/1/2014,1.0,844784,415928500,50356100,348674,2448042400,800935,1088044700,893713100,3468659,24.13,27.01,5.94,97.62,15.69,14.21,50.1,49.9,1164149.0,83.88,1130928.0,81.49,980424.0,70.64,270525.0,19.49,99.61,98.27,86.87,1387834,1923.0,0.14,35818.0,2.58,21164.0,1.52,62758.0,4.52,17835.0,1.29,283.0,0.02,76662.0,5.52,1234149.0,88.93,0.49,0.58,0.42,0.87,0.85,0.85,0.04,0.05,0.07
040US31,31,,,,553,44,,,45.0,,6.0,21.0,66.0,,44.0,,,False,4/14/2011,1.0,8/1/2011,1.0,8/27/2011,1.0,,0.0,1/1/2017,1.0,2638860,766965400,93805700,1316990,3857395200,940254,1885777300,1110846800,4460498,22.2,25.13,7.93,94.82,11.92,18.6,49.77,50.23,1536522.0,78.16,1481176.0,75.34,1289801.0,65.61,322165.0,16.39,100.93,98.98,84.31,1965926,19581.0,1.0,49107.0,2.5,93595.0,4.76,242226.0,12.32,83156.0,4.23,933.0,0.05,149163.0,7.59,1570391.0,79.88,0.27,0.26,0.17,0.65,0.74,0.81,0.01,0.02,0.1
